payment_id,customer_id,prediction_time,logged_action,logging_probability,logged_recovered,base_policy_intervention,fraud_flag,selected_action,decision_type,fallback_used,failure_class,risk_checks_passed,probability_margin,expected_value_margin_inr,margin_fallback_triggered,decision_reasons,predicted_retry_payment_probability,retry_payment_supported,retry_payment_support_count,retry_payment_support_ess,predicted_payment_link_probability,payment_link_supported,payment_link_support_count,payment_link_support_ess,predicted_whatsapp_reminder_probability,whatsapp_reminder_supported,whatsapp_reminder_support_count,whatsapp_reminder_support_ess,predicted_escalate_to_merchant_probability,escalate_to_merchant_supported,escalate_to_merchant_support_count,escalate_to_merchant_support_ess
TXN0000027707,C009053,2024-11-06 10:24:12,retry_payment,0.90000000,0,retry_payment,0,no_action,stop,False,authentication_required,False,0.04342240,,False,"[""no_eligible_positive_value_action"", ""failure_matrix:block"", ""margin_not_applicable_to_non_allow_decision""]",0.61177462,True,58,8.97709815,0.70568514,False,3,3.00000000,0.66226274,False,24,3.90270249,0.54434365,False,8,8.00000000
TXN0000095845,C006793,2024-11-06 11:04:14,payment_link,0.90000000,1,payment_link,0,payment_link,allow,False,technical_retryable,True,0.02557009,121.85000000,False,"[""eligible"", ""contextually_supported_or_manual"", ""highest_risk_adjusted_expected_value"", ""expected_value_margin:121.86"", ""probability_margin:0.0450896"", ""decision_margin_passed""]",0.56516182,True,387,66.60326136,0.61025143,True,625,91.91881191,0.58468133,True,50,36.09870729,0.39483625,True,196,56.61961283
TXN0000040953,C009727,2024-11-06 11:09:13,retry_payment,0.90000000,1,retry_payment,0,no_action,stop,False,authentication_required,False,0.00709403,,False,"[""no_eligible_positive_value_action"", ""failure_matrix:block"", ""margin_not_applicable_to_non_allow_decision""]",0.63679892,False,49,7.23938140,0.67899072,False,8,4.29589038,0.67189670,False,23,3.80324523,0.49371982,False,11,2.70552140
TXN0000246834,C009422,2024-11-06 12:04:00,retry_payment,0.90000000,0,retry_payment,0,retry_payment,fallback,True,technical_retryable,True,0.01546723,,False,"[""decision_uncertain"", ""expected_value_margin:None"", ""probability_margin:None"", ""margin_not_applicable_to_non_allow_decision""]",0.61426443,True,126,18.74890631,0.63631153,False,9,9.00000000,0.62084430,True,73,15.08078281,0.52014512,True,237,33.53941007
TXN0000201314,C006992,2024-11-06 12:16:21,whatsapp_reminder,0.90000000,0,whatsapp_reminder,0,whatsapp_reminder,fallback,True,authentication_required,True,0.01717418,,False,"[""decision_uncertain"", ""expected_value_margin:None"", ""probability_margin:None"", ""margin_not_applicable_to_non_allow_decision""]",0.62072307,True,126,18.74890631,0.65342087,False,9,9.00000000,0.63624668,True,73,15.08078281,0.52322525,True,237,33.53941007
TXN0000243507,C001496,2024-11-06 13:11:38,whatsapp_reminder,0.90000000,1,whatsapp_reminder,0,whatsapp_reminder,fallback,True,customer_decline,True,0.03796235,,False,"[""decision_uncertain"", ""expected_value_margin:None"", ""probability_margin:None"", ""margin_not_applicable_to_non_allow_decision""]",0.47283781,True,126,18.74890631,0.53323901,False,9,9.00000000,0.49527666,True,73,15.08078281,0.37652332,True,237,33.53941007
TXN0000031139,C009462,2024-11-06 14:35:29,retry_payment,0.90000000,1,retry_payment,0,retry_payment,fallback,True,technical_retryable,True,0.04812026,,False,"[""decision_uncertain"", ""expected_value_margin:3.7749643325805664"", ""probability_margin:0.013025403022766113"", ""margin_not_applicable_to_non_allow_decision""]",0.65504372,True,134,25.67475706,0.66806912,True,55,23.54174517,0.71618938,True,69,17.37637634,0.52856708,True,213,29.38877094
TXN0000114122,C003718,2024-11-06 15:01:03,payment_link,0.03333333,0,escalate_to_merchant,0,retry_payment,fallback,True,technical_retryable,True,0.00991780,,False,"[""decision_uncertain"", ""expected_value_margin:None"", ""probability_margin:None"", ""margin_not_applicable_to_non_allow_decision""]",0.48687652,True,172,27.72056966,0.51068330,False,17,16.07278182,0.52060109,True,66,18.92736169,0.37090826,True,211,29.09046962
TXN0000150048,C002256,2024-11-06 15:25:26,whatsapp_reminder,0.90000000,0,whatsapp_reminder,0,whatsapp_reminder,fallback,True,authentication_required,True,0.02454895,,False,"[""decision_uncertain"", ""expected_value_margin:None"", ""probability_margin:None"", ""margin_not_applicable_to_non_allow_decision""]",0.59147370,True,172,27.72056966,0.61602265,False,17,16.07278182,0.59004098,True,66,18.92736169,0.50279886,True,211,29.09046962
TXN0000215167,C002628,2024-11-06 15:31:59,payment_link,0.03333333,0,retry_payment,0,no_action,stop,False,customer_decline,False,0.01753518,,False,"[""no_eligible_positive_value_action"", ""failure_matrix:block"", ""margin_not_applicable_to_non_allow_decision""]",0.48030469,True,58,8.97709815,0.49783987,False,25,3.45418296,0.47462803,False,10,3.52962620,0.32747704,False,12,7.36805008
TXN0000101400,C001906,2024-11-06 15:37:08,escalate_to_merchant,0.90000000,1,escalate_to_merchant,0,escalate_to_merchant,fallback,True,merchant_configuration,True,0.05153489,,False,"[""decision_uncertain"", ""expected_value_margin:None"", ""probability_margin:None"", ""margin_not_applicable_to_non_allow_decision""]",0.58941978,True,172,27.72056966,0.64095467,False,17,16.07278182,0.58432508,True,66,18.92736169,0.49270725,True,211,29.09046962
TXN0000149232,C001692,2024-11-06 16:08:33,retry_payment,0.90000000,0,retry_payment,0,no_action,stop,False,authentication_required,False,0.01463944,,False,"[""no_eligible_positive_value_action"", ""failure_matrix:block"", ""margin_not_applicable_to_non_allow_decision""]",0.65436292,True,58,8.97709815,0.67949975,False,3,3.00000000,0.66486031,False,24,3.90270249,0.56579608,False,8,8.00000000
TXN0000044419,C007539,2024-11-06 16:13:49,retry_payment,0.90000000,1,retry_payment,0,no_action,stop,False,authentication_required,False,0.02504450,,False,"[""no_eligible_positive_value_action"", ""failure_matrix:block"", ""margin_not_applicable_to_non_allow_decision""]",0.62523210,True,126,18.74890631,0.63905364,False,9,9.00000000,0.66409814,True,73,15.08078281,0.51777339,True,237,33.53941007
TXN0000020920,C002974,2024-11-06 16:25:50,payment_link,0.90000000,1,payment_link,0,payment_link,allow,False,authentication_required,True,0.04527843,154.48000000,False,"[""eligible"", ""contextually_supported_or_manual"", ""highest_risk_adjusted_expected_value"", ""expected_value_margin:145.04"", ""probability_margin:0.04527843"", ""fallback_ineligible""]",0.58996391,True,129,19.07760664,0.63991088,True,218,30.47265689,0.59463245,True,34,21.95535821,0.44354352,True,65,18.84615345
TXN0000222252,C005353,2024-11-06 17:08:25,escalate_to_merchant,0.90000000,0,escalate_to_merchant,0,retry_payment,fallback,True,technical_retryable,True,0.05583358,,False,"[""decision_uncertain"", ""expected_value_margin:0.09987092018127441"", ""probability_margin:0.06864297389984131"", ""margin_not_applicable_to_non_allow_decision""]",0.61064178,True,382,61.49646714,0.67928475,True,55,50.36414754,0.62345117,True,122,42.51287438,0.50937182,True,685,101.16768160
TXN0000145130,C006562,2024-11-06 17:38:24,retry_payment,0.90000000,0,retry_payment,0,no_action,stop,False,authentication_required,False,0.02968603,,False,"[""no_eligible_positive_value_action"", ""failure_matrix:block"", ""margin_not_applicable_to_non_allow_decision""]",0.58639550,False,49,7.23938140,0.64659333,False,8,4.29589038,0.61690730,False,23,3.80324523,0.46380413,False,11,2.70552140
TXN0000214915,C000026,2024-11-06 18:33:59,escalate_to_merchant,0.90000000,1,escalate_to_merchant,0,retry_payment,fallback,True,technical_retryable,True,0.00823957,,False,"[""decision_uncertain"", ""expected_value_margin:None"", ""probability_margin:None"", ""margin_not_applicable_to_non_allow_decision""]",0.56107408,True,126,18.74890631,0.56931365,False,9,9.00000000,0.53826845,True,73,15.08078281,0.44588616,True,237,33.53941007
TXN0000073672,C004585,2024-11-06 19:15:40,escalate_to_merchant,0.90000000,0,escalate_to_merchant,0,no_action,stop,False,customer_decline,False,0.04034007,,False,"[""no_eligible_positive_value_action"", ""failure_matrix:block"", ""margin_not_applicable_to_non_allow_decision""]",0.51379681,False,18,18.00000000,0.56329983,False,1,1.00000000,0.52295977,False,7,3.29758098,0.38729411,False,0,0.00000000
TXN0000052587,C005243,2024-11-06 19:37:48,whatsapp_reminder,0.90000000,1,whatsapp_reminder,0,no_action,stop,False,customer_decline,False,0.02161866,,False,"[""no_eligible_positive_value_action"", ""failure_matrix:block"", ""margin_not_applicable_to_non_allow_decision""]",0.66048330,True,47,47.00000000,0.71961194,False,2,2.00000000,0.69799328,False,21,3.60798899,0.55545402,False,12,3.68852452
TXN0000201805,C006926,2024-11-06 20:19:08,escalate_to_merchant,0.90000000,0,escalate_to_merchant,0,payment_link,allow,False,technical_retryable,True,0.02851897,40.26000000,False,"[""eligible"", ""contextually_supported_or_manual"", ""highest_risk_adjusted_expected_value"", ""expected_value_margin:40.25"", ""probability_margin:0.02851897"", ""decision_margin_passed""]",0.63358825,True,387,66.60326136,0.66210723,True,625,91.91881191,0.62787980,True,50,36.09870729,0.43551791,True,196,56.61961283
TXN0000104374,C001586,2024-11-06 20:36:00,retry_payment,0.90000000,0,retry_payment,0,no_action,stop,False,merchant_configuration,False,0.02651566,,False,"[""customer_opted_out"", ""margin_not_applicable_to_non_allow_decision""]",0.67537093,True,387,66.60326136,0.75525010,True,625,91.91881191,0.72873443,True,50,36.09870729,0.50552636,True,196,56.61961283
TXN0000010302,C006888,2024-11-06 21:16:46,escalate_to_merchant,0.90000000,1,escalate_to_merchant,0,payment_link,allow,False,authentication_required,True,0.03628105,39.14000000,False,"[""eligible"", ""contextually_supported_or_manual"", ""highest_risk_adjusted_expected_value"", ""expected_value_margin:25.98"", ""probability_margin:0.03628105"", ""fallback_ineligible""]",0.48597327,True,134,25.67475706,0.54656541,True,55,23.54174517,0.51028436,True,69,17.37637634,0.39592177,True,213,29.38877094
TXN0000053376,C000528,2024-11-06 21:26:11,whatsapp_reminder,0.90000000,0,whatsapp_reminder,0,payment_link,allow,False,technical_retryable,True,0.01701105,129.62000000,False,"[""eligible"", ""contextually_supported_or_manual"", ""highest_risk_adjusted_expected_value"", ""expected_value_margin:129.62"", ""probability_margin:0.05082011"", ""decision_margin_passed""]",0.47154266,True,59,8.94277964,0.52236277,True,90,12.53697431,0.50535172,False,19,4.27099396,0.37927511,True,43,10.73819641
TXN0000035278,C002802,2024-11-06 21:40:25,whatsapp_reminder,0.90000000,0,whatsapp_reminder,0,retry_payment,fallback,True,technical_retryable,True,0.00383204,,False,"[""decision_uncertain"", ""expected_value_margin:None"", ""probability_margin:None"", ""margin_not_applicable_to_non_allow_decision""]",0.61772990,True,60,8.27440554,0.64227027,False,1,1.00000000,0.63843822,False,46,6.69767366,0.49585229,True,93,13.89845234
TXN0000193304,C008216,2024-11-06 22:09:54,whatsapp_reminder,0.90000000,0,whatsapp_reminder,0,no_action,stop,False,technical_retryable,False,0.00198305,,False,"[""no_eligible_positive_value_action"", ""failure_matrix:block"", ""margin_not_applicable_to_non_allow_decision""]",0.50303930,False,3,3.00000000,0.50502235,False,0,0.00000000,0.46817061,False,19,19.00000000,0.41901201,False,2,1.07397260
TXN0000056420,C007184,2024-11-07 00:18:15,whatsapp_reminder,0.03333333,0,escalate_to_merchant,0,retry_payment,fallback,True,technical_retryable,True,0.01247573,,False,"[""decision_uncertain"", ""expected_value_margin:5.292001485824585"", ""probability_margin:0.04647552967071533"", ""margin_not_applicable_to_non_allow_decision""]",0.53866553,True,359,56.24386377,0.58514106,True,85,37.80492775,0.59761679,True,126,41.91580028,0.41809383,True,694,97.85794000
TXN0000222246,C007686,2024-11-07 07:03:16,whatsapp_reminder,0.90000000,0,whatsapp_reminder,0,retry_payment,fallback,True,technical_retryable,True,0.00532675,,False,"[""decision_uncertain"", ""expected_value_margin:None"", ""probability_margin:None"", ""margin_not_applicable_to_non_allow_decision""]",0.60271364,True,126,18.74890631,0.64416403,False,9,9.00000000,0.63883728,True,73,15.08078281,0.51979321,True,237,33.53941007
TXN0000108622,C008955,2024-11-07 08:59:54,whatsapp_reminder,0.90000000,0,whatsapp_reminder,0,retry_payment,fallback,True,technical_retryable,True,0.00839323,,False,"[""decision_uncertain"", ""expected_value_margin:None"", ""probability_margin:None"", ""margin_not_applicable_to_non_allow_decision""]",0.55826700,True,126,18.74890631,0.58333963,False,9,9.00000000,0.57494640,True,73,15.08078281,0.46050051,True,237,33.53941007
TXN0000104777,C007227,2024-11-07 09:42:34,payment_link,0.90000000,1,payment_link,0,escalate_to_merchant,fallback,True,merchant_configuration,True,0.04038215,,False,"[""decision_uncertain"", ""expected_value_margin:None"", ""probability_margin:None"", ""margin_not_applicable_to_non_allow_decision""]",0.57800972,True,387,66.60326136,0.63644981,True,625,91.91881191,0.59606767,True,50,36.09870729,0.42204836,True,196,56.61961283
TXN0000236939,C003820,2024-11-07 10:06:19,retry_payment,0.90000000,1,retry_payment,0,whatsapp_reminder,fallback,True,authentication_required,True,0.01913333,,False,"[""decision_uncertain"", ""expected_value_margin:6.095799207687378"", ""probability_margin:0.019133329391479492"", ""margin_not_applicable_to_non_allow_decision""]",0.54753047,True,382,61.49646714,0.57347500,True,55,50.36414754,0.59260833,True,122,42.51287438,0.43984270,True,685,101.16768160
TXN0000068932,C000343,2024-11-07 10:32:26,escalate_to_merchant,0.90000000,1,escalate_to_merchant,0,escalate_to_merchant,fallback,True,merchant_configuration,True,0.04322249,,False,"[""decision_uncertain"", ""expected_value_margin:None"", ""probability_margin:None"", ""margin_not_applicable_to_non_allow_decision""]",0.52363485,True,172,27.72056966,0.60334855,False,17,16.07278182,0.56012607,True,66,18.92736169,0.43348461,True,211,29.09046962
TXN0000122582,C003502,2024-11-07 10:48:33,escalate_to_merchant,0.90000000,0,escalate_to_merchant,0,payment_link,fallback,True,authentication_required,True,0.01178831,,False,"[""decision_uncertain"", ""expected_value_margin:None"", ""probability_margin:None"", ""margin_not_applicable_to_non_allow_decision""]",0.43074921,True,359,56.24386377,0.49336094,True,85,37.80492775,0.48157263,True,126,41.91580028,0.31616658,True,694,97.85794000
TXN0000054056,C004339,2024-11-07 11:23:24,retry_payment,0.90000000,1,retry_payment,0,retry_payment,fallback,True,technical_retryable,True,0.01881540,,False,"[""decision_uncertain"", ""expected_value_margin:None"", ""probability_margin:None"", ""margin_not_applicable_to_non_allow_decision""]",0.60384703,True,172,27.72056966,0.62911969,False,17,16.07278182,0.64793509,True,66,18.92736169,0.50363594,True,211,29.09046962
TXN0000056581,C006897,2024-11-07 11:29:56,payment_link,0.90000000,0,payment_link,0,escalate_to_merchant,fallback,True,merchant_configuration,True,0.00269920,,False,"[""decision_uncertain"", ""expected_value_margin:None"", ""probability_margin:None"", ""margin_not_applicable_to_non_allow_decision""]",0.55105752,True,387,66.60326136,0.58911848,True,625,91.91881191,0.59181768,True,50,36.09870729,0.39467007,True,196,56.61961283
TXN0000140441,C002607,2024-11-07 12:07:08,escalate_to_merchant,0.90000000,0,escalate_to_merchant,0,payment_link,fallback,True,authentication_required,True,0.00902098,,False,"[""decision_uncertain"", ""expected_value_margin:0.4562952518463135"", ""probability_margin:0.009020984172821045"", ""margin_not_applicable_to_non_allow_decision""]",0.61758214,True,359,56.24386377,0.67006946,True,85,37.80492775,0.66104847,True,126,41.91580028,0.51143181,True,694,97.85794000
TXN0000201737,C009719,2024-11-07 12:23:41,escalate_to_merchant,0.90000000,1,escalate_to_merchant,0,payment_link,allow,False,authentication_required,True,0.03026116,19.32000000,False,"[""eligible"", ""contextually_supported_or_manual"", ""highest_risk_adjusted_expected_value"", ""expected_value_margin:15.97"", ""probability_margin:0.03026116"", ""fallback_ineligible""]",0.58912867,True,359,56.24386377,0.63452280,True,85,37.80492775,0.60426164,True,126,41.91580028,0.50099093,True,694,97.85794000
TXN0000155503,C004978,2024-11-07 12:29:38,payment_link,0.90000000,1,payment_link,0,payment_link,allow,False,technical_retryable,True,0.01924860,100.21000000,False,"[""eligible"", ""contextually_supported_or_manual"", ""highest_risk_adjusted_expected_value"", ""expected_value_margin:100.22"", ""probability_margin:0.0192486"", ""decision_margin_passed""]",0.60279912,True,129,19.07760664,0.62204772,True,218,30.47265689,0.58133614,True,34,21.95535821,0.42396599,True,65,18.84615345
TXN0000014480,C003183,2024-11-07 13:07:03,retry_payment,0.90000000,1,retry_payment,0,payment_link,fallback,True,authentication_required,True,0.04750788,,False,"[""decision_uncertain"", ""expected_value_margin:0.5054571628570557"", ""probability_margin:0.0475078821182251"", ""margin_not_applicable_to_non_allow_decision""]",0.62157995,True,382,61.49646714,0.68372035,True,55,50.36414754,0.63621247,True,122,42.51287438,0.48692185,True,685,101.16768160
TXN0000191292,C004807,2024-11-07 13:50:29,whatsapp_reminder,0.90000000,0,whatsapp_reminder,0,whatsapp_reminder,fallback,True,customer_decline,True,0.04795462,,False,"[""decision_uncertain"", ""expected_value_margin:None"", ""probability_margin:None"", ""margin_not_applicable_to_non_allow_decision""]",0.50052184,False,49,7.90577463,0.52068686,False,6,6.00000000,0.56864148,True,63,11.63500628,0.43960530,True,88,12.69429910
TXN0000071205,C006458,2024-11-07 14:35:52,retry_payment,0.90000000,1,retry_payment,0,retry_payment,fallback,True,technical_retryable,True,0.01228583,,False,"[""decision_uncertain"", ""expected_value_margin:None"", ""probability_margin:None"", ""margin_not_applicable_to_non_allow_decision""]",0.67623615,True,58,8.97709815,0.74033278,False,25,3.45418296,0.72804695,False,10,3.52962620,0.57418424,False,12,7.36805008
TXN0000180168,C001004,2024-11-07 14:45:46,escalate_to_merchant,0.03333333,1,retry_payment,0,no_action,stop,False,authentication_required,False,0.00984067,,False,"[""no_eligible_positive_value_action"", ""failure_matrix:block"", ""margin_not_applicable_to_non_allow_decision""]",0.65199512,False,19,3.41762696,0.67378145,False,2,2.00000000,0.66394079,False,6,6.00000000,0.52362621,False,1,1.00000000
TXN0000183443,C002328,2024-11-07 15:25:15,retry_payment,0.90000000,1,retry_payment,0,retry_payment,fallback,True,technical_retryable,True,0.03864771,,False,"[""decision_uncertain"", ""expected_value_margin:None"", ""probability_margin:None"", ""margin_not_applicable_to_non_allow_decision""]",0.56868923,True,126,18.74890631,0.56288576,False,9,9.00000000,0.60733694,True,73,15.08078281,0.47262383,True,237,33.53941007
TXN0000142917,C007005,2024-11-07 15:48:18,retry_payment,0.90000000,0,retry_payment,0,escalate_to_merchant,fallback,True,merchant_configuration,True,0.01614106,,False,"[""decision_uncertain"", ""expected_value_margin:None"", ""probability_margin:None"", ""margin_not_applicable_to_non_allow_decision""]",0.55119175,False,49,7.23938140,0.63707805,False,8,4.29589038,0.62093699,False,23,3.80324523,0.47948933,False,11,2.70552140
TXN0000189447,C005764,2024-11-07 17:19:22,escalate_to_merchant,0.90000000,1,escalate_to_merchant,0,no_action,stop,False,customer_decline,False,0.02903754,,False,"[""no_eligible_positive_value_action"", ""failure_matrix:block"", ""margin_not_applicable_to_non_allow_decision""]",0.59955126,False,19,3.41762696,0.66303056,False,2,2.00000000,0.63399303,False,6,6.00000000,0.49082100,False,1,1.00000000
TXN0000224199,C004044,2024-11-07 17:46:58,retry_payment,0.90000000,0,retry_payment,0,whatsapp_reminder,fallback,True,authentication_required,True,0.02229059,,False,"[""decision_uncertain"", ""expected_value_margin:9.679437339305878"", ""probability_margin:0.005827009677886963"", ""margin_not_applicable_to_non_allow_decision""]",0.58258116,True,134,25.67475706,0.55446357,True,55,23.54174517,0.56029058,True,69,17.37637634,0.44244194,True,213,29.38877094
TXN0000025621,C000651,2024-11-07 18:53:07,retry_payment,0.90000000,1,retry_payment,0,whatsapp_reminder,fallback,True,authentication_required,True,0.00646168,,False,"[""decision_uncertain"", ""expected_value_margin:7.962125062942505"", ""probability_margin:0.006461679935455322"", ""margin_not_applicable_to_non_allow_decision""]",0.71676731,True,362,56.55389812,0.73973793,True,241,49.77543607,0.74619961,True,96,34.06733257,0.60118884,True,512,71.09486331
TXN0000095177,C001518,2024-11-07 19:01:28,retry_payment,0.90000000,1,retry_payment,0,whatsapp_reminder,fallback,True,authentication_required,True,0.02104241,,False,"[""decision_uncertain"", ""expected_value_margin:8.920442879199982"", ""probability_margin:0.02104240655899048"", ""margin_not_applicable_to_non_allow_decision""]",0.59132218,True,359,56.24386377,0.62256396,True,85,37.80492775,0.64360636,True,126,41.91580028,0.47285038,True,694,97.85794000
TXN0000009116,C008089,2024-11-07 19:12:48,escalate_to_merchant,0.90000000,0,escalate_to_merchant,0,no_action,stop,False,customer_decline,False,0.03562242,,False,"[""no_eligible_positive_value_action"", ""failure_matrix:block"", ""margin_not_applicable_to_non_allow_decision""]",0.67552030,True,58,8.97709815,0.73297620,False,25,3.45418296,0.69735378,False,10,3.52962620,0.51404190,False,12,7.36805008
TXN0000171793,C009255,2024-11-07 20:49:04,whatsapp_reminder,0.90000000,1,whatsapp_reminder,0,whatsapp_reminder,fallback,True,authentication_required,True,0.02306777,,False,"[""decision_uncertain"", ""expected_value_margin:None"", ""probability_margin:None"", ""margin_not_applicable_to_non_allow_decision""]",0.71684313,True,126,18.74890631,0.74442846,False,9,9.00000000,0.76749623,True,73,15.08078281,0.62427753,True,237,33.53941007
TXN0000060492,C005253,2024-11-07 22:08:18,retry_payment,0.90000000,1,retry_payment,0,no_action,stop,False,customer_decline,False,0.01539898,,False,"[""no_eligible_positive_value_action"", ""failure_matrix:block"", ""margin_not_applicable_to_non_allow_decision""]",0.60319769,True,47,47.00000000,0.64830756,False,2,2.00000000,0.63290858,False,21,3.60798899,0.49877658,False,12,3.68852452
TXN0000081660,C005352,2024-11-07 22:24:42,payment_link,0.90000000,1,payment_link,0,payment_link,allow,False,technical_retryable,True,0.04418206,386.39000000,False,"[""eligible"", ""contextually_supported_or_manual"", ""highest_risk_adjusted_expected_value"", ""expected_value_margin:386.39"", ""probability_margin:0.07745326"", ""decision_margin_passed""]",0.53400034,True,129,19.07760664,0.61145359,True,218,30.47265689,0.56727153,True,34,21.95535821,0.38925266,True,65,18.84615345
TXN0000119409,C000640,2024-11-07 22:30:44,escalate_to_merchant,0.90000000,0,escalate_to_merchant,0,payment_link,allow,False,authentication_required,True,0.01840436,67.09000000,False,"[""eligible"", ""contextually_supported_or_manual"", ""highest_risk_adjusted_expected_value"", ""expected_value_margin:19.43"", ""probability_margin:0.01840436"", ""fallback_ineligible""]",0.61711615,True,362,56.55389812,0.68086070,True,241,49.77543607,0.66245633,True,96,34.06733257,0.46376741,True,512,71.09486331
TXN0000050027,C003084,2024-11-07 22:45:54,escalate_to_merchant,0.90000000,0,escalate_to_merchant,0,no_action,stop,False,customer_decline,False,0.01749831,,False,"[""no_eligible_positive_value_action"", ""failure_matrix:block"", ""margin_not_applicable_to_non_allow_decision""]",0.48502767,True,126,18.74890631,0.52686727,False,9,9.00000000,0.50936896,True,73,15.08078281,0.41628546,True,237,33.53941007
TXN0000186272,C006677,2024-11-07 23:56:55,retry_payment,0.90000000,0,retry_payment,0,whatsapp_reminder,fallback,True,authentication_required,True,0.00104755,,False,"[""decision_uncertain"", ""expected_value_margin:None"", ""probability_margin:None"", ""margin_not_applicable_to_non_allow_decision""]",0.65554255,True,172,27.72056966,0.65659010,False,17,16.07278182,0.65246284,True,66,18.92736169,0.51870549,True,211,29.09046962
